datasettingname,grabdate,grabstatus,rowgrabbed,rowsaved,note,recfile
GoldTab01,2016-02-19T17:52:16.662763697+07:00,SUCCESS,15.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175224.csv
GoldTab01,2016-02-19T17:52:45.010712491+07:00,SUCCESS,30.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175247.csv
GoldTab01,2016-02-19T17:53:07.202878896+07:00,SUCCESS,45.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175308.csv
GoldTab01,2016-02-19T17:53:28.21104474+07:00,SUCCESS,60.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175329.csv
GoldTab01,2016-02-19T17:53:49.538659502+07:00,SUCCESS,75.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175350.csv
GoldTab01,2016-02-19T17:54:10.760146712+07:00,SUCCESS,90.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175412.csv
GoldTab01,2016-02-19T17:54:33.007025913+07:00,SUCCESS,105.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175434.csv
GoldTab01,2016-02-19T17:54:54.747089839+07:00,SUCCESS,120.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175456.csv
GoldTab01,2016-02-19T17:55:16.273108361+07:00,SUCCESS,135.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175517.csv
GoldTab01,2016-02-19T17:55:37.978508137+07:00,SUCCESS,150.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175540.csv
GoldTab01,2016-02-19T17:56:00.163132306+07:00,SUCCESS,165.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175601.csv
GoldTab01,2016-02-19T17:56:21.134762404+07:00,SUCCESS,180.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175621.csv
GoldTab01,2016-02-19T17:56:41.649518454+07:00,SUCCESS,195.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175642.csv
GoldTab01,2016-02-19T17:57:02.180561545+07:00,SUCCESS,210.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/testCSV.GoldTab01-20160219175703.csv
